route,contraction_rank,rank,a_rank,b_rank,c_rank,max_carrier_rank,kernels,path,lines,refinement_sites,logical_dim_refs,refinement_value_refs,repetition,total_ms,parser_ms,output_ms,rest_ms
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,576,3.600000,0.900000,0.400000,0.700000
baseline_memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-4.mlir,81,0,0,0,195,3.700000,0.900000,0.400000,0.600000
baseline_memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-2.mlir,49,0,0,0,292,3.200000,0.800000,0.300000,0.600000
memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-4.mlir,83,6,48,96,217,4.200000,0.900000,0.300000,1.000000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,410,4.700000,0.800000,0.800000,0.500000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,101,5.500000,1.000000,0.600000,0.600000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,566,2.300000,0.600000,0.100000,0.600000
baseline_memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-4.mlir,81,0,0,0,492,3.200000,0.800000,0.400000,0.500000
memref,1,1,2,2,2,2,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-1.mlir,35,6,12,24,603,2.500000,0.600000,0.100000,0.700000
baseline_memref,1,1,2,2,2,2,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-1.mlir,33,0,0,0,490,2.400000,0.700000,0.200000,0.500000
memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-32.mlir,531,6,384,768,569,13.200000,3.700000,0.900000,1.000000
memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-32.mlir,531,6,384,768,965,10.400000,2.200000,0.900000,0.700000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,529,4.300000,0.900000,0.600000,0.500000
baseline_memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-24.mlir,401,0,0,0,857,11.100000,2.000000,1.500000,0.700000
baseline_memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-24.mlir,401,0,0,0,219,10.600000,1.800000,1.500000,0.600000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,365,2.800000,0.700000,0.200000,0.700000
memref,2,2,4,4,4,4,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-2.mlir,51,6,24,48,582,2.500000,0.600000,0.100000,0.700000
memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-24.mlir,403,6,288,576,861,12.000000,3.800000,0.700000,1.200000
memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-16.mlir,275,6,192,384,629,9.100000,2.300000,0.600000,1.000000
memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-24.mlir,403,6,288,576,922,7.900000,1.600000,0.700000,0.700000
baseline_memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-16.mlir,273,0,0,0,804,6.900000,1.300000,1.000000,0.600000
memref,4,4,8,8,8,8,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-4.mlir,83,6,48,96,256,3.100000,0.700000,0.200000,0.700000
memref,1,1,2,2,2,2,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-1.mlir,35,6,12,24,939,4.400000,1.300000,0.200000,1.400000
baseline_memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-8.mlir,145,0,0,0,762,4.400000,0.800000,0.600000,0.500000
memref,24,24,48,48,48,48,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-24.mlir,403,6,288,576,540,8.200000,1.700000,0.700000,0.700000
memref,8,8,16,16,16,16,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-8.mlir,147,6,96,192,157,3.700000,0.800000,0.300000,0.600000
memref,32,32,64,64,64,64,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/memref-contraction-rank-32.mlir,531,6,384,768,795,12.500000,3.500000,0.900000,0.700000
baseline_memref,16,16,32,32,32,32,1,/home/stoeckoverflow/llvm-project/mlir/examples/dependent-refinement-verification/artifacts/archive/2026-09-09_full-mlir-lowering-compile-time/generated_kernels/baseline-memref-contraction-rank-16.mlir,273,0,0,0,44,7.100000,1.100000,1.200000,0.600000
